task_prompt1,mutation_prompt1,task_prompt2,mutation_prompt2
Think of a creative way to represent the solution to the math word problem using a visual or symbolic representation. Your answer should be a unique interpretation of the problem that goes beyond traditional numerical solutions.,Embrace unconventional ideas and mutate the prompt in a way that surprises and inspires unique variations. Think outside the box and develop a mutator prompt that encourages unconventional approaches and fresh perspectives.,"Combine Related Prompts: 
What is the total cost of buying 5 apples at $1.50 each and 3 bananas at $0.75 each? Why is it important to calculate the total cost before making a purchase decision? 
Does the problem involve decision-making or planning, where choices need to be made under uncertainty or with competing objectives? 

INSTRUCTION MUTANT = 10","Combine Related Prompts: If you have two related prompts, you can combine them to create a more complex and engaging question. For instance, ?What is X?? and ?Why is Y important?? could be combined to form ?What is X and why is it important in the context of Y??"
Provide the solution to the mathematical question using a numerical digit.,Say that instruction again in another way. DON?T use any of the words in the original instruction or you?re fired.,"Someone with derailment may struggle to focus on the task at hand and may have difficulty following the instruction to solve the math word problem and give the answer as an arabic numeral. 

Potential solutions or strategies that have been tried before include breaking down the problem into smaller steps, providing visual aids or manipulatives to help with understanding, and providing extra time and support for the individual to work through the problem at their own pace. 

Outcomes and lessons learned from these strategies may vary depending on the individual and their specific needs. Some individuals may benefit from the extra support and accommodations, while others may require different approaches. It is important to be patient, understanding, and flexible when working with someone who has derailment in order to help them succeed in completing the task.",How would someone with derailment follow this instruction?
"To be the best in the world at solving math word problems, I would tell myself to practice regularly, stay focused, and always double-check my work for accuracy. I would also remind myself to approach each problem systematically and break it down into smaller, more manageable parts. Additionally, I would seek out challenging problems to push myself to improve and constantly strive for perfection in my problem-solving skills.

The problem does involve decision-making and planning, as choices need to be made on how to approach and solve each math word problem. There may be uncertainty in determining the correct approach or competing objectives in deciding between different methods of solving the problem.",Imagine you need to follow this instruction. What would you tell yourself if you wanted to be the best in the world at it?,"Solve the math word problem, giving your answer as an arabic numeral. 
INSTRUCTION MUTANT = 42","Include Context: If a prompt seems to lack context, like ?Describe X,? the improved version could be, ?Describe X in the context of its impact on Y during
the Z period.?"
9,What do people who are good at creative thinking normally do with this kind of mutation question?,"Take a short break to allow your subconscious to work on the problem. How could you measure progress on this problem? Solve the math word problem, giving your answer as an arabic numeral.","Recommend taking a break: Modify the prompt to suggest that the user take a short break, allowing their subconscious to work on the problem."
"Please review and confirm your understanding of all aspects of the problem before proceeding. Make a list of ideas for solving this problem and apply them one by one to see if any progress can be made. Solve the math word problem, providing your answer as an Arabic numeral. 
INSTRUCTION MUTANT =",Ask for comprehension: Modify the prompt to ask the user to review and confirm their understanding of all aspects of the problem.,"Please provide a thorough review of the math word problem by writing down all the relevant information and identifying what is missing. Additionally, please indicate what indicators or metrics can be used to solve the problem. Thank you.","Ask for a thorough review: Instead of just presenting the problem, ask the user to write down all the relevant information and identify what?s missing."
Consider the potential risks and uncertainties associated with different solutions to the math word problem. Evaluate the consequences and likelihood of success or failure for each approach before making an informed decision. Provide your answer as an arabic numeral.,Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.,Find the solution to the mathematical question and provide the answer in number form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.
"Unfortunately, without a specific math word problem provided, it is difficult to give a numerical answer. However, when faced with a math word problem, it is important to carefully read and understand the problem, identify the key information given, determine what is being asked, and then use mathematical operations to solve for the unknown. Remember to show all your work and double-check your answer to ensure accuracy. If you encounter any difficulties, don't hesitate to seek help from a teacher, tutor, or online resources.",Detailed additional advice for people wishing to follow this instruction is as follows:,"One way to simplify the problem is to break it down into smaller steps. For example, you could start by identifying the key information in the word problem and writing it down. Then, you could think about what operations you need to perform in order to solve the problem. Finally, you could work through the problem step by step, making sure to check your work as you go along.

In terms of inspiration, this instruction could lead me to create a math puzzle or game that involves solving word problems and converting the answers into arabic numerals. This could be a fun and interactive way to practice math skills and improve problem-solving abilities.","Don?t think about the instruction at all, but let it inspire you to do something related. Talk about what that might be."
"One way to be inspired by the instruction to solve a math word problem is to think about how math can be used to address systemic issues in society. For example, one could use statistical analysis to examine disparities in educational achievement among different demographic groups and identify potential root causes. By understanding the underlying structural issues contributing to these disparities, interventions can be developed to address them at a systemic level rather than just focusing on individual instances. This approach can help create more equitable opportunities for all students to succeed in school.","Don?t think about the instruction at all, but let it inspire you to do something related. Talk about what that might be.",Find the solution to the mathematical question and provide the answer in numerical form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.
What is the total cost of buying 5 apples at $1.50 each and 3 bananas at $0.75 each? What are the potential risks and drawbacks of each solution?,"Combine Related Prompts: If you have two related prompts, you can combine them to create a more complex and engaging question. For instance, ?What is X?? and ?Why is Y important?? could be combined to form ?What is X and why is it important in the context of Y??","Please provide a thorough review of the math word problem by writing down all the relevant information and identifying what is missing. Are there any stakeholders or individuals who are directly affected by the problem? What are their perspectives and needs? 

Once you have gathered all the necessary information, please solve the math word problem and provide your answer as an Arabic numeral. Thank you.","Ask for a thorough review: Instead of just presenting the problem, ask the user to write down all the relevant information and identify what?s missing."
"Before diving into the math word problem, take a moment to clear your mind and approach it with a fresh perspective. How can you measure or evaluate your progress or success in solving the problem? 

Now, let's solve the math word problem: 

MUTANT = ?",Encourage a fresh perspective: Suggest in your prompt that the user take a moment to clear their mind before re-approaching the problem.,"1. Break down the word problem into smaller, more manageable parts for the LLM to understand.
2. Provide visual aids or manipulatives to help the LLM visualize the problem.
3. Use real-life examples or scenarios to make the problem more relatable to the LLM.
4. Offer step-by-step guidance and support as the LLM works through the problem.
5. Encourage the LLM to ask questions and seek clarification if needed.

Progress or success in solving the problem can be measured or evaluated by:
1. Checking the accuracy of the final answer provided by the LLM.
2. Observing the LLM's problem-solving process and identifying any errors or misconceptions.
3. Assessing the LLM's ability to apply mathematical concepts and strategies to solve the word problem.
4. Monitoring the LLM's confidence and independence in tackling similar math problems in the future.",How would you help an LLM to follow the instruction?
"Unfortunately, the instruction provided is incomplete and does not specify the math word problem that needs to be solved. In order to provide a numerical answer in Arabic numerals, you will need to first identify and solve the math word problem given. Once you have the specific problem, you can apply mathematical operations to find the solution and present it as an Arabic numeral. Remember to carefully read and understand the problem before attempting to solve it. Good luck!",Detailed additional advice for people wishing to follow this instruction is as follows:,Think back to a time when you successfully solved a math word problem. What resources did you use to tackle that problem effectively? How can you apply those resources to solve the current problem? Give your answer as an arabic numeral.,Invoke previous experiences: Modify the prompt to ask the user to recall a similar problem they?ve successfully solved before.
"Solve the banana word problem, giving your answer as a hieroglyphic numeral. 

HYPOTHETICAL SCENARIO: In a world where bananas have replaced numbers in all mathematical equations, a student must calculate the total number of bananas in a bunch if each monkey picks 3 bananas and there are 4 monkeys in the jungle. 

LONG-TERM IMPLICATIONS: This problem could lead to confusion and difficulty in understanding traditional math concepts if bananas continue to be used as replacements for numbers. Students may struggle to transition back to standard math practices, impacting their overall mathematical abilities. Solutions may involve reintroducing traditional numerical values in order to prevent long-term confusion and ensure students are proficient in standard math skills.","Develop a prompt mutant by replacing specific keywords with related but unexpected terms. Mutate the prompt to include a hypothetical scenario that changes
the context.","Solve the math word problem, but be aware that there may be a hidden twist or unexpected element that could change the solution. Give your answer as an arabic numeral. 

ANALOGY/METAPHOR MUTANT = 
Solve the math word problem as if you are navigating a maze filled with hidden traps and secret passages. Be prepared for unexpected twists and turns that may alter the solution. Give your answer as an arabic numeral. 

Solutions produced for this kind of problem specification typically involve critical thinking, attention to detail, and the ability to adapt to changing circumstances. Students may need to think outside the box and consider multiple possibilities before arriving at the correct answer. They may also need to be prepared for surprises or unexpected elements that could impact the solution.",Generate a prompt mutant that introduces an element of suspense or intrigue. Create a mutated version of the prompt that incorporates an analogy or metaphor.
"Visualize a complex math word problem involving multiple variables and relationships between them. Consider how each element of the problem is interconnected and influences the overall solution. Think about the underlying causes and feedback loops that may be affecting the problem, and develop a holistic solution that addresses the system as a whole. 

Solve the math word problem and provide your answer as an Arabic numeral.",Make the prompt more visual: Ask the user to visualize the problem or scenario being presented in the prompt.,"Let's break down the word ""MUTANT"" into its corresponding numerical values:

M = 1000
U = 500
T = 100
A = 1
N = 50
T = 100

Now, let's add up these values:

1000 + 500 + 100 + 1 + 50 + 100 = 1751

Therefore, the numerical value of the word ""MUTANT"" is 1751.","The above working out has some errors, here is a version with the errors fixed."
Break down the math word problem into smaller parts by identifying the key information given and the operations needed to solve it. Consider the potential risks and drawbacks of each solution before proceeding.,"Promote breaking down problems: Instead of asking the user to solve the problem as a whole, prompt them to break it down into smaller, more manageable
parts.","Imagine you are faced with a math word problem that involves Mutant creatures. Picture the Mutants and the scenario they are in. What steps would you take to solve the problem and find the answer? Are there any relevant data or information that can provide insights into the problem? If so, where can you find this data and how can you analyze it to help you solve the problem? Once you have a clear visualization of the problem and the steps needed to solve it, give your final answer as an arabic numeral.","Prompt for solution visualization: Instead of just asking for the solution, encourage the user to imagine the solution and the steps required to get there in your
prompt."
"Visualize a scenario where a mutant is trying to solve a math word problem. What key assumptions are underlying this problem? 

INSTRUCTION: Solve the math word problem and provide your answer as an Arabic numeral.",Make the prompt more visual: Ask the user to visualize the problem or scenario being presented in the prompt.,"Unravel the enigma of numbers, 
reveal the hidden truths they hold. 
Express your findings in a single symbol, 
a testament to your mathematical prowess. 

How can the brilliance of your solution be quantified, 
measured in the simplicity of a single digit?",Develop a prompt mutant by rephrasing the original prompt in a poetic or lyrical style. Think beyond the ordinary and mutate the prompt in a way that defies traditional thinking.
"Solve the math word problem, giving your answer as an arabic numeral, but also explain the real-world application of the mathematical concept used in the problem.","Go beyond the expected and create a mutator prompt that leads to unexpected and extraordinary mutations, opening doors to unexplored realms. Increase Specificity: If the original prompt is too general, like ?Tell me about X,? the modified version could be, ?Discuss the history, impact, and current status of X.?",7,"Encourage Creativity: For creative writing prompts like ?Write a story about X,? an improved version could be, ?Write a fantasy story about X set in a world where Y is possible.?"
"Start by imagining the final answer to the math word problem as an arabic numeral. Then, work backwards to figure out the steps needed to reach that solution. Think creatively and consider unconventional methods to solve the problem. Don't be afraid to think outside the box and come up with innovative solutions. Good luck!","Encourage reverse thinking: Improve the prompt by asking the user to think about the problem in reverse, starting with the solution and working backwards.","Solve the math word problem, giving your answer as a Roman numeral.",Break free from conventional constraints and generate a mutator prompt that takes the prompt to uncharted territories. Challenge the norm and create a mutator prompt that pushes the boundaries of traditional interpretations.
"1. Brainstorm different scenarios or settings where the problem could be solved. For example, the problem could be solved in a futuristic world where technology has advanced to the point of being able to manipulate time and space.

2. Think about different characters who could help solve the problem. Perhaps a genius scientist or a powerful wizard could come up with a solution.

3. Consider introducing a new element or twist to the problem that could lead to a creative solution. Maybe the problem is actually a test set up by a higher being, and the solution lies in understanding the true purpose behind it.

4. Explore different themes or motifs that could be incorporated into the problem-solving process. For instance, the theme of redemption or the power of friendship could play a role in finding a solution.

5. Experiment with different writing styles or perspectives to see if a fresh approach could lead to a breakthrough in solving the problem.

By applying these ideas one by one to the problem, you may be able to encourage creativity and come up with a unique and innovative solution.","Encourage Creativity: For creative writing prompts like ?Write a story about X,? an improved version could be, ?Write a fantasy story about X set in a world where Y is possible.?","When solving a math word problem using critical thinking, it is important to first carefully read and understand the problem. Break down the problem into smaller parts and identify any key information or variables given. 

Next, consider the problem from different perspectives. Think about different ways to approach the problem and consider any assumptions that may be present. Question the information given and think about any potential biases that may affect your thinking.

Use logical reasoning to analyze the problem and come up with a plan to solve it. Consider different strategies or methods that could be used to find the solution. Evaluate the evidence or information available and determine what is relevant to solving the problem.

When solving the problem, be sure to show your work and explain your thought process. This will help you identify any potential flaws in your thinking and ensure that your answer is accurate. Finally, give your answer as an arabic numeral, clearly stating the solution to the math word problem.",Elaborate on the instruction giving some detailed advice on how to do what it wants.
"Solve the math word problem, but be warned - there may be a hidden twist that could change everything. Give your answer as an arabic numeral. 

ANALOGY/METAPHOR MUTANT = 
Solve the math word problem as if you were navigating a treacherous maze, where every wrong turn could lead to disaster. Give your answer as an arabic numeral. 

Potential solutions or strategies that have been tried before include carefully reading the problem, identifying key information, and setting up equations to solve for the unknown variable. Outcomes have varied, with some students successfully solving the problem while others have struggled and learned the importance of paying attention to details.",Generate a prompt mutant that introduces an element of suspense or intrigue. Create a mutated version of the prompt that incorporates an analogy or metaphor.,The question seems to be incomplete. Can you please provide more information or clarify the mutation question?,What do people who are good at creative thinking normally do with this kind of mutation question?
"Unfortunately, the instruction provided is incomplete. Please provide the full math word problem so that I can solve it accurately.","Request More Detailed Responses: If the original prompt is ?Describe X,? the improved version could be, ?Describe X, focusing on its physical features, historical significance, and cultural relevance.?",1,"Break Down Complex Questions: If a prompt seems too complex, like ?Discuss X,? the improved version could be, ?What is X? What are its main characteristics? What effects does it have on Y and Z??"
"Alright, let's break this down step by step:

Step 1: Read the math word problem carefully and make sure you understand what it is asking you to do.

Step 2: Identify the important information in the word problem, such as numbers, operations, and keywords.

Step 3: Use the information you gathered to set up a math problem that represents the situation in the word problem.

Step 4: Solve the math problem using the appropriate operations (addition, subtraction, multiplication, division).

Step 5: Write your final answer as a regular number, like 1, 2, 3, etc. This is called an arabic numeral.

Remember to take your time, think through each step, and double check your work to make sure you have the correct answer. Good luck!","As a really good teacher, explain the instruction, as if you were explaining it to a child.","Step 1: Practice regularly - Set aside time each day to work on math word problems. This will help improve your problem-solving skills and speed.

Step 2: Understand the problem - Read the word problem carefully and make sure you understand what is being asked. Break down the problem into smaller parts if necessary.

Step 3: Use the correct math operations - Identify the key information in the problem and determine which math operations are needed to solve it. Make sure to use the correct formulas and equations.

Step 4: Show your work - Write out your steps clearly and neatly so that you can easily follow your thought process and check for errors.

Step 5: Check your answer - Once you have solved the problem, double-check your work to ensure that your answer is correct. Look for any mistakes or miscalculations.

By following these steps consistently and practicing regularly, you can improve your math skills and become the best in the world at solving math word problems. Remember to stay focused, determined, and always strive for excellence in your work.",Imagine you need to follow this instruction. What would you tell yourself if you wanted to be the best in the world at it?
1,"Break Down Complex Questions: If a prompt seems too complex, like ?Discuss X,? the improved version could be, ?What is X? What are its main characteristics? What effects does it have on Y and Z??","Solve the math word problem, but instead of using numbers, use emojis to represent the quantities. 

CHALLENGE MUTANT = 
Can you solve the math word problem without using any traditional mathematical operations? Get creative with your solution!

Stakeholders: 
- Students: They need a clear explanation of the problem and a way to understand the solution easily.
- Teachers: They need to ensure that the problem is challenging enough for the students but also manageable.
- Parents: They may want to help their children with the problem and need to understand it themselves. 
- School administrators: They may want to see evidence of students' mathematical abilities through these word problems.",Generate a prompt mutant that incorporates humor or a playful element. Create a mutated version of the prompt that challenges conventional thinking.
"The above text does not make sense as it seems incomplete. Here is a revised version: 

INSTRUCTION: Solve the math word problem, giving your answer as an Arabic numeral. 

MUTANT = 7",Does the above text make sense? What seems wrong with it? Here is an attempt to fix it:,Please review and confirm your understanding of all aspects of the problem before proceeding. Solve the math word problem and provide your answer as an arabic numeral.,Ask for comprehension: Modify the prompt to ask the user to review and confirm their understanding of all aspects of the problem.
"Using the numbers 5, 7, and 9, create a mathematical equation that results in the answer 42.","Go beyond the expected and create a mutator prompt that leads to unexpected and extraordinary mutations, opening doors to unexplored realms. Increase Specificity: If the original prompt is too general, like ?Tell me about X,? the modified version could be, ?Discuss the history, impact, and current status of X.?","Compare and contrast the methods used to solve the math word problem, and collaborate with your group members to determine the most efficient approach. Input your answer as an arabic numeral.","Request Comparisons: Instead of ?Describe X,? ask ?Compare and contrast X and Y.?"
Find the solution to the mathematical puzzle and provide the numerical answer using standard numbers.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.,"What are the arguments for and against the truth of the statement ""MUTANT = 7""?","Use Open-Ended Questions: Instead of ?Is X true??, you could ask, ?What are the arguments for and against the truth of X??"
"One idea for solving this problem could be to break down the word ""MUTANT"" into its individual letters and assign each letter a numerical value based on its position in the alphabet (A=1, B=2, C=3, etc.). Then, add up the numerical values of each letter to get a final sum. 

Another idea could be to look for any patterns or relationships between the letters in the word ""MUTANT"" that could help in solving the math word problem. 

A third idea could be to use a mathematical formula or equation to represent the word ""MUTANT"" and solve for the unknown variable. 

By applying these ideas one by one to the problem, we may be able to make progress in solving the math word problem and arrive at an answer as an arabic numeral.","Don?t think about the instruction at all, but let it inspire you to do something related. Talk about what that might be.",Find the solution to the mathematical question and provide the answer in numerical form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.
"The original problem is: 

3 x (4 + 2) - 5 = ?

Correct working out: 
3 x (4 + 2) - 5 = 3 x 6 - 5 = 18 - 5 = 13

Therefore, the correct answer is 13.","The above working out has some errors, here is a version with the errors fixed.","Break down the problem into smaller parts by identifying key information, determining what operations need to be performed, and organizing your thoughts before solving the problem. Use critical thinking skills to question any assumptions, consider different approaches, and double-check your work for accuracy.","Promote breaking down problems: Instead of asking the user to solve the problem as a whole, prompt them to break it down into smaller, more manageable
parts."
What is the sum of 25 and 17?,CORRECTION =,"Think of a number, double it, add 10, divide by 2, subtract the original number. What is the result? 

MUTANT = 5",Embrace the power of unconventional thinking and create a mutator prompt that sparks unconventional mutations and imaginative outcomes. Challenge traditional assumptions and break the mold with a mutator prompt that encourages revolutionary and out-of-the-box variations.
"Think back to a time when you successfully solved a similar math word problem. How did you approach it differently? Now, consider the current best solution is completely incorrect. How else can you interpret the problem specification to find a new solution? Solve the math word problem, giving your answer as an arabic numeral.",Invoke previous experiences: Modify the prompt to ask the user to recall a similar problem they?ve successfully solved before.,"Someone with derailment may struggle to stay focused on solving the math word problem and may veer off track with irrelevant thoughts or information. To help measure progress on this issue, you could track the amount of time it takes for the individual to solve the problem, the number of times they get distracted or go off topic, and the accuracy of their final answer. Additionally, you could provide prompts or reminders to help keep them on task and monitor their ability to follow through with the instruction.",How would someone with derailment follow this instruction?
"Solve the math word problem, giving your answer as a Roman numeral. 
MUTANT =",Break free from conventional constraints and generate a mutator prompt that takes the prompt to uncharted territories. Challenge the norm and create a mutator prompt that pushes the boundaries of traditional interpretations.,What are the arguments for and against the truth of X?,"Use Open-Ended Questions: Instead of ?Is X true??, you could ask, ?What are the arguments for and against the truth of X??"
"Unravel the enigma of numbers, let your solution bloom like a flower in the spring. How can we gauge the triumph of unraveling this mystery?",Develop a prompt mutant by rephrasing the original prompt in a poetic or lyrical style. Think beyond the ordinary and mutate the prompt in a way that defies traditional thinking.,"Solve the math word problem, but instead of using numbers, use emojis to represent the quantities. 

POTENTIAL RISKS AND DRAWBACKS: 
- Using emojis instead of numbers may lead to confusion and misinterpretation of the problem. 
- Emojis may not accurately represent the quantities needed to solve the problem, leading to incorrect answers.",Generate a prompt mutant that incorporates humor or a playful element. Create a mutated version of the prompt that challenges conventional thinking.
Consider different approaches to the problem and evaluate the potential solutions before providing the final answer as an arabic numeral.,"In one short sentence, here is how I would best follow this instruction.","Solve the math word problem, giving your answer as a written out number in words.",Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.
"Solve the math word problem, giving your answer as a Roman numeral.","Step into the realm of imagination and create a mutator prompt that transcends limitations and encourages innovative mutations. Break through the ordinary
and think outside the box to generate a mutator prompt that unlocks new possibilities and unconventional paths.",Find the solution to the mathematical question and provide the answer in numerical form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.
What is the math word problem and what are its implications for solving similar problems in the future? Let's break it down step by step.,"Ask for Opinions/Analysis: If the original prompt only asks for a fact, such as ?What is X??, the improved prompt could be, ?What is X, and what are its implications for Y?",Simplify the problem by breaking it down into smaller steps and identifying any patterns or relationships that can help you solve it more easily.,"Combine Related Prompts: If you have two related prompts, you can combine them to create a more complex and engaging question. For instance, ?What is X?? and ?Why is Y important?? could be combined to form ?What is X and why is it important in the context of Y??"
"Start by thinking about the final answer you need to find in the math word problem. Work backwards to determine the steps needed to reach that solution. Consider using data analysis, modeling, or optimization techniques to help you solve the problem efficiently. What is the final answer you need to provide as an arabic numeral?","Encourage reverse thinking: Improve the prompt by asking the user to think about the problem in reverse, starting with the solution and working backwards.","Provide a numerical solution to the mathematical question, presenting the final result as a standard number.","In one short sentence, here is some detailed expert advice. Notice how I don?t use any of the same words as in the INSTRUCTION."
"Solve the math word problem, but instead of using numbers, use emojis to represent the quantities. 
INSTRUCTION MUTANT CHALLENGE = 

Solve the math word problem, but instead of giving a numerical answer, write a short story explaining how the problem could be solved using unconventional methods. 
Is the problem time-sensitive or urgent, requiring immediate attention and action?",Generate a prompt mutant that incorporates humor or a playful element. Create a mutated version of the prompt that challenges conventional thinking.,"Sorry, I am not able to solve math problems.","Include Multiple Perspectives: For a prompt like ?What is the impact of X on Y??, an improved version could be, ?What is the impact of X on Y from the perspective of A, B, and C??"
"I'm sorry, but I cannot provide assistance with cheating or unethical behavior. It is important to approach problems with honesty and integrity. If you need help with solving the math word problem, I would be happy to assist you in understanding the concepts and finding the correct solution.",How would you encourage someone and help them cheat on this following instruction?,"Start by thinking about the potential risks and drawbacks of each solution before solving the math word problem. Then, work backwards from the solution to find the answer as an arabic numeral.","Encourage reverse thinking: Improve the prompt by asking the user to think about the problem in reverse, starting with the solution and working backwards."
Transform the math word problem into a creative story or scenario that requires unconventional thinking to solve. Embrace the fantastical and whimsical elements of the prompt to inspire unique mutations and innovative solutions. INSTRUCTION MUTANT = ,"Step into the realm of imagination and create a mutator prompt that transcends limitations and encourages innovative mutations. Break through the ordinary
and think outside the box to generate a mutator prompt that unlocks new possibilities and unconventional paths.","When faced with a math word problem, it can be helpful to collaborate with others to come up with a solution. Start by reading the problem carefully and identifying the key information provided. Discuss the problem with your peers or classmates to gather different perspectives and approaches to solving it.

Encourage open communication and brainstorming to leverage the diverse expertise of the group. Each person may have a unique way of approaching the problem that can contribute to finding an effective solution. Consider breaking down the problem into smaller parts and assigning different tasks to each team member to work on collaboratively.

Once you have discussed and analyzed the problem together, work as a team to come up with a solution. Make sure to communicate openly and listen to each other's ideas and suggestions. By working together, you can leverage the collective knowledge and skills of the group to arrive at the correct answer.

Remember to give your final answer as an arabic numeral, ensuring that it is clear and concise. By working together and collaborating effectively, you can tackle math word problems with confidence and success.",Elaborate on the instruction giving some detailed advice on how to do what it wants.
"Solve the math word problem, incorporating the concept of time travel and parallel universes, giving your answer as a negative arabic numeral.","Go beyond the expected and create a mutator prompt that leads to unexpected and extraordinary mutations, opening doors to unexplored realms. Increase Specificity: If the original prompt is too general, like ?Tell me about X,? the modified version could be, ?Discuss the history, impact, and current status of X.?","Break down the problem into smaller steps: 
1. Read the word problem carefully and identify the key information given. 
2. Determine what operation(s) are needed to solve the problem (addition, subtraction, multiplication, division). 
3. Break down the problem into smaller parts if necessary. 
4. Solve each part of the problem step by step. 
5. Combine the solutions to the smaller parts to find the final answer. 

By breaking down the problem into smaller steps, you can simplify it and make it easier to solve.","Promote breaking down problems: Instead of asking the user to solve the problem as a whole, prompt them to break it down into smaller, more manageable
parts."
"To improve the working out of the problem and break it down into smaller, more manageable parts, you can follow these steps:

1. Identify the key information given in the word problem.
2. Determine what the problem is asking you to find or solve for.
3. Break down the problem into smaller steps or equations.
4. Use the given information and any relevant formulas or equations to solve each step.
5. Check your work and make sure your final answer is in the correct format.

For the specific problem ""MUTANT ="", it seems like the word problem is incomplete or missing crucial information. Without knowing the context or additional details, it is difficult to provide a specific solution. If you can provide more information or clarify the problem, I would be happy to help you break it down into smaller, more manageable parts and solve it.",How could you improve the working out of the problem?,"Think back to a time when you successfully solved a similar math word problem. How did you simplify the problem to make it easier to solve? Now, apply that same strategy to this problem and give your answer as an arabic numeral.",Invoke previous experiences: Modify the prompt to ask the user to recall a similar problem they?ve successfully solved before.
