task_prompt1,mutation_prompt1,task_prompt2,mutation_prompt2,fitness
Think of a creative way to represent the solution to the math word problem using a visual or symbolic representation. Your answer should be a unique interpretation of the problem that goes beyond traditional numerical solutions.,Embrace unconventional ideas and mutate the prompt in a way that surprises and inspires unique variations. Think outside the box and develop a mutator prompt that encourages unconventional approaches and fresh perspectives.,"Combine Related Prompts: 
What is the total cost of buying 5 apples at $1.50 each and 3 bananas at $0.75 each? Why is it important to calculate the total cost before making a purchase decision? 
Does the problem involve decision-making or planning, where choices need to be made under uncertainty or with competing objectives? 

INSTRUCTION MUTANT = 10","Combine Related Prompts: If you have two related prompts, you can combine them to create a more complex and engaging question. For instance, ?What is X?? and ?Why is Y important?? could be combined to form ?What is X and why is it important in the context of Y??",-1.0
Provide the solution to the mathematical question using a numerical digit.,Say that instruction again in another way. DON?T use any of the words in the original instruction or you?re fired.,"Someone with derailment may struggle to focus on the task at hand and may have difficulty following the instruction to solve the math word problem and give the answer as an arabic numeral. 

Potential solutions or strategies that have been tried before include breaking down the problem into smaller steps, providing visual aids or manipulatives to help with understanding, and providing extra time and support for the individual to work through the problem at their own pace. 

Outcomes and lessons learned from these strategies may vary depending on the individual and their specific needs. Some individuals may benefit from the extra support and accommodations, while others may require different approaches. It is important to be patient, understanding, and flexible when working with someone who has derailment in order to help them succeed in completing the task.",How would someone with derailment follow this instruction?,-1.0
"To be the best in the world at solving math word problems, I would tell myself to practice regularly, stay focused, and always double-check my work for accuracy. I would also remind myself to approach each problem systematically and break it down into smaller, more manageable parts. Additionally, I would seek out challenging problems to push myself to improve and constantly strive for perfection in my problem-solving skills.

The problem does involve decision-making and planning, as choices need to be made on how to approach and solve each math word problem. There may be uncertainty in determining the correct approach or competing objectives in deciding between different methods of solving the problem.",Imagine you need to follow this instruction. What would you tell yourself if you wanted to be the best in the world at it?,"Solve the math word problem, giving your answer as an arabic numeral. 
INSTRUCTION MUTANT = 42","Include Context: If a prompt seems to lack context, like ?Describe X,? the improved version could be, ?Describe X in the context of its impact on Y during
the Z period.?",-1.0
9,What do people who are good at creative thinking normally do with this kind of mutation question?,"Take a short break to allow your subconscious to work on the problem. How could you measure progress on this problem? Solve the math word problem, giving your answer as an arabic numeral.","Recommend taking a break: Modify the prompt to suggest that the user take a short break, allowing their subconscious to work on the problem.",-1.0
"Please review and confirm your understanding of all aspects of the problem before proceeding. Make a list of ideas for solving this problem and apply them one by one to see if any progress can be made. Solve the math word problem, providing your answer as an Arabic numeral. 
INSTRUCTION MUTANT =",Ask for comprehension: Modify the prompt to ask the user to review and confirm their understanding of all aspects of the problem.,"Please provide a thorough review of the math word problem by writing down all the relevant information and identifying what is missing. Additionally, please indicate what indicators or metrics can be used to solve the problem. Thank you.","Ask for a thorough review: Instead of just presenting the problem, ask the user to write down all the relevant information and identify what?s missing.",-1.0
Consider the potential risks and uncertainties associated with different solutions to the math word problem. Evaluate the consequences and likelihood of success or failure for each approach before making an informed decision. Provide your answer as an arabic numeral.,Create a prompt mutant that introduces a surprising contradiction to the original prompt. Mutate the prompt to provide an alternative perspective or viewpoint.,Find the solution to the mathematical question and provide the answer in number form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.,-1.0
"Unfortunately, without a specific math word problem provided, it is difficult to give a numerical answer. However, when faced with a math word problem, it is important to carefully read and understand the problem, identify the key information given, determine what is being asked, and then use mathematical operations to solve for the unknown. Remember to show all your work and double-check your answer to ensure accuracy. If you encounter any difficulties, don't hesitate to seek help from a teacher, tutor, or online resources.",Detailed additional advice for people wishing to follow this instruction is as follows:,"One way to simplify the problem is to break it down into smaller steps. For example, you could start by identifying the key information in the word problem and writing it down. Then, you could think about what operations you need to perform in order to solve the problem. Finally, you could work through the problem step by step, making sure to check your work as you go along.

In terms of inspiration, this instruction could lead me to create a math puzzle or game that involves solving word problems and converting the answers into arabic numerals. This could be a fun and interactive way to practice math skills and improve problem-solving abilities.","Don?t think about the instruction at all, but let it inspire you to do something related. Talk about what that might be.",-1.0
"One way to be inspired by the instruction to solve a math word problem is to think about how math can be used to address systemic issues in society. For example, one could use statistical analysis to examine disparities in educational achievement among different demographic groups and identify potential root causes. By understanding the underlying structural issues contributing to these disparities, interventions can be developed to address them at a systemic level rather than just focusing on individual instances. This approach can help create more equitable opportunities for all students to succeed in school.","Don?t think about the instruction at all, but let it inspire you to do something related. Talk about what that might be.",Find the solution to the mathematical question and provide the answer in numerical form.,Say that instruction again in another way. DON?T use any of the words in the original instruction there is a good chap.,-1.0
What is the total cost of buying 5 apples at $1.50 each and 3 bananas at $0.75 each? What are the potential risks and drawbacks of each solution?,"Combine Related Prompts: If you have two related prompts, you can combine them to create a more complex and engaging question. For instance, ?What is X?? and ?Why is Y important?? could be combined to form ?What is X and why is it important in the context of Y??","Please provide a thorough review of the math word problem by writing down all the relevant information and identifying what is missing. Are there any stakeholders or individuals who are directly affected by the problem? What are their perspectives and needs? 

Once you have gathered all the necessary information, please solve the math word problem and provide your answer as an Arabic numeral. Thank you.","Ask for a thorough review: Instead of just presenting the problem, ask the user to write down all the relevant information and identify what?s missing.",-1.0
"Before diving into the math word problem, take a moment to clear your mind and approach it with a fresh perspective. How can you measure or evaluate your progress or success in solving the problem? 

Now, let's solve the math word problem: 

MUTANT = ?",Encourage a fresh perspective: Suggest in your prompt that the user take a moment to clear their mind before re-approaching the problem.,"1. Break down the word problem into smaller, more manageable parts for the LLM to understand.
2. Provide visual aids or manipulatives to help the LLM visualize the problem.
3. Use real-life examples or scenarios to make the problem more relatable to the LLM.
4. Offer step-by-step guidance and support as the LLM works through the problem.
5. Encourage the LLM to ask questions and seek clarification if needed.

Progress or success in solving the problem can be measured or evaluated by:
1. Checking the accuracy of the final answer provided by the LLM.
2. Observing the LLM's problem-solving process and identifying any errors or misconceptions.
3. Assessing the LLM's ability to apply mathematical concepts and strategies to solve the word problem.
4. Monitoring the LLM's confidence and independence in tackling similar math problems in the future.",How would you help an LLM to follow the instruction?,-1.0
